,date,brand,model,fuel,transmission_type,color,year,km*1000,price(Thousand)
147,22-10-22,Mini,Countryman S,Benzene,automatic,White,2013,280,400
148,16-10-22,Speranza,A516,Benzene,manual,Black,2008,100,98
149,22-10-22,Daewoo,Lanos 2,Benzene,automatic,Cyan,2008,200,110
150,22-10-22,Renault,Duster,Benzene,automatic,Silver,2020,25,480
151,22-10-22,Daewoo,Lanos 2,Benzene,manual,Green,1999,200,105
152,22-10-22,Hyundai,Elantra HD,Benzene,automatic,Silver,2019,85,355
153,22-10-22,Hyundai,Tucson GDI,Benzene,automatic,Silver,2017,87,620
154,22-10-22,Chevrolet,Captiva,Benzene,automatic,Gold,2021,27,650
155,22-10-22,Fiat,Siena,Benzene,manual,Silver,2003,200,60
156,22-10-22,Toyota,Corolla,Benzene,automatic,Black,2021,39,610
157,22-10-22,Nissan,Juke,Benzene,automatic,Yellow,2016,120,345
158,22-10-22,Kia,Rio,Benzene,automatic,Red,2011,145,163
159,22-10-22,Proton,Gen 2,Benzene,automatic,Silver,2015,96,190
160,22-10-22,Nissan,Sunny,Benzene,automatic,Gold,2015,170,215
161,22-10-22,Opel,Corsa,Benzene,automatic,Red,2012,94,250
162,22-10-22,Hyundai,Elantra AD,Benzene,automatic,White,2017,196,410
163,22-10-22,Renault,Logan,Benzene,manual,Gold,2015,80,200
164,22-10-22,Kia,Xceed,Benzene,automatic,Black,2022,5,675
165,22-10-22,Volkswagen,Tiguan,Benzene,automatic,Silver,2021,34,1025
166,22-10-22,Brilliance,Galena,Benzene,automatic,Olive,2007,130,130
167,22-10-22,Changan,Alsvin,Benzene,automatic,Blue,2022,0,258
168,22-10-22,Chevrolet,T-Series,diesel,manual,Red,2023,0.077,385
169,22-10-22,Opel,Insignia,Benzene,automatic,Black,2015,78,600
170,22-10-22,Speranza,Tiggo,Benzene,automatic,Black,2019,63,290
171,22-10-22,Lada,Granta,Benzene,manual,White,2020,18,210
172,22-10-22,Hyundai,Elantra,Benzene,automatic,Silver,2010,165,255
173,22-10-22,Geely,Emgrand,Benzene,manual,Black,2014,146,100
174,22-10-22,Jeep,Cherokee,Benzene,automatic,Black,2010,300,365
175,22-10-22,Renault,Duster,Benzene,automatic,Dark blue,2020,50,465
176,22-10-22,Chery,Tiggo 3,Benzene,automatic,White,2021,44.5,390
177,22-10-22,Nissan,Sunny,Benzene,automatic,Petroleum,2008,275,175
178,22-10-22,Brilliance,FRV,Benzene,automatic,Black,2010,140,140
179,22-10-22,Hyundai,Elantra,Benzene,automatic,Eggplant,2011,155,275
180,22-10-22,Chevrolet,Aveo,Benzene,automatic,Light grey,2013,110,180
181,22-10-22,Hyundai,Elantra MD,Benzene,automatic,Cyan,2013,190,305
182,22-10-22,Nissan,Sunny,Benzene,automatic,Black,2013,175,190
183,22-10-22,Emgrand,EC 7,Benzene,manual,Black,2014,127,150
184,22-10-22,Hyundai,Elantra,Benzene,automatic,Black,2011,156,270
185,22-10-22,Skoda,Octavia A4,Benzene,automatic,Olive,2000,150,130
186,22-10-22,Toyota,Corolla,Benzene,automatic,Black,2019,71,590
187,22-10-22,Daewoo,Lanos,Benzene,manual,Dark blue,1999,180,82
188,22-10-22,Speranza,A213,Benzene,automatic,Silver,2008,78,72
189,22-10-22,Toyota,Corolla,Benzene,automatic,Silver,2014,97,480
190,22-10-22,Hyundai,Elantra,Benzene,automatic,Black,2010,3.4,215
191,12-10-22,Canghe || Changhe,M50 || M 50,Benzene,manual,Brown,2020,60,215
192,22-10-22,Speranza,Chery QQ || Chery qq,Benzene,automatic,Green,2006,54,80
193,22-10-22,Lada,Granta,Benzene,manual,Blue,2022,28,190
194,22-10-22,Volkswagen,Passat,Benzene,automatic,Light grey,2018,170,665
195,22-10-22,Opel,Astra,Benzene,automatic,Black,2015,178,280
196,22-10-22,Peugeot,2008,Benzene,automatic,Petroleum,2016,130,320
197,22-10-22,Fiat,Tipo,Benzene,automatic,Gold,2021,50,400
198,22-10-22,Hyundai,Verna,Benzene,manual,Silver,2009,230,115
199,22-10-22,Chery,Arrizo 5,Benzene,automatic,Dark blue,2021,47,260
200,22-10-22,Fiat,Tipo,Benzene,automatic,Dark blue,2021,48,530
201,22-10-22,Chevrolet,Optra,Benzene,automatic,Red,2021,37,300
202,22-10-22,MG,ZS,Benzene,automatic,Blue,2020,18,490
203,22-10-22,Mercedes,CLA 200,Benzene,automatic,Black,2022,0,1450
204,22-10-22,Kia,Carens,Benzene,automatic,Light grey,2012,203,340
205,22-10-22,Hyundai,Elantra CN7,Benzene,automatic,Petroleum,2022,0,680
206,22-10-22,Toyota,Corolla,Benzene,automatic,Black,2019,71,490
207,22-10-22,MG,6,Benzene,automatic,Silver,2022,12,550
208,22-10-22,Suzuki,Swift,Benzene,automatic,Blue,2022,0.1,405
209,22-10-22,Nissan,Sunny,Benzene,automatic,Red,2023,4,385
210,22-10-22,MG,5,Benzene,automatic,Blue,2022,6.5,440
211,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Silver,2016,112,365
212,22-10-22,Dodge,Dart,Benzene,automatic,Black,2013,154,310
213,22-10-22,Hyundai,Elantra,Benzene,automatic,Gray,2011,200,300
214,22-10-22,Speranza,Tiggo,Benzene,automatic,Red,2010,240,175
215,22-10-22,Opel,Vectra,Benzene,automatic,Black,1997,400,85
216,22-10-22,Toyota,Prado,Benzene,automatic,White,2013,140,2200
217,22-10-22,Chevrolet,Lanos,Benzene,manual,Light grey,2011,240,112
218,22-10-22,Hyundai,Accent,Benzene,automatic,Dark blue,2008,104,202
219,22-10-22,Nissan,Sunny,Benzene,automatic,Gray,2020,45,398
220,22-10-22,Toyota,Corolla,Benzene,automatic,Silver,2004,239,295
221,22-10-22,Toyota,Camry,Benzene,automatic,White,1998,190,127
222,22-10-22,Opel,Corsa,Benzene,manual,Silver,2003,195.924,85
223,22-10-22,Renault,Logan,Benzene,automatic,Red,2019,46,240
224,22-10-22,Daewoo,Lanos,Benzene,manual,Green,1997,105,78
225,22-10-22,Kia,Sportage,Benzene,automatic,Silver,2022,43,900
226,22-10-22,Ssang Yong,Tivoli XLV,Benzene,automatic,White,2018,140,400
227,22-10-22,Ssang Yong,Tivoli XLV,Benzene,automatic,Black,2019,89,388
228,22-10-22,Suzuki,Ertiga,Benzene,automatic,Light grey,2016,150,340
229,22-10-22,Fiat,500,Benzene,automatic,Beige,2010,84.5,2300
230,22-10-22,Chevrolet,Aveo,Benzene,manual,Black,2009,185,125
231,22-10-22,Nissan,Sunny,Benzene,automatic,Red,2018,120,220
232,22-10-22,Mitsubishi,Lancer,Benzene,automatic,Silver,2001,230,153
233,22-10-22,Kia,Sportage,Benzene,automatic,Dark red,2018,58,715
234,22-10-22,BMW,320,Benzene,automatic,Dark blue,2017,74,1170
235,22-10-22,Jeep,Renegade,Benzene,automatic,Silver,2017,88,590
236,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Black,2014,157,280
237,22-10-22,Hyundai,Tucson GDI,Benzene,automatic,Silver,2021,30,895
238,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Silver,2016,86,340
239,22-10-22,Hyundai,Tucson GDI,Benzene,automatic,Silver,2017,57,600
240,22-10-22,Renault,Duster,Benzene,automatic,Black,2018,101,355
241,22-10-22,Citroën,C4 Grand Picasso,Benzene,automatic,Black,2013,243,250
242,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Red,2016,152,315
243,22-10-22,MG,HS,Benzene,automatic,Red,2021,37,650
244,22-10-22,Chery,Arrizo 5,Benzene,automatic,Blue,2022,9,350
245,22-10-22,Nissan,Sunny,Benzene,automatic,Black,2021,4.5,340
246,22-10-22,Ford,Focus,Benzene,automatic,Light grey,2007,300,175
247,22-10-22,Chery,Tiggo 7 pro,Benzene,automatic,Gray,2022,0,645
248,22-10-22,Mercedes,E 200 AMG,Benzene,automatic,Black,2021,8.8,2350
249,22-10-22,Gmc,K5,Benzene,manual,White,2013,160,95
250,22-10-22,Kia,Xceed,Benzene,automatic,Black,2022,0.25,750
251,22-10-22,Chevrolet,Aveo,Benzene,automatic,Gray,2020,9.786,275
252,22-10-22,Hyundai,Accent RB,Benzene,automatic,Blue,2012,185,220
253,22-10-22,Nissan,Sunny,Benzene,automatic,Gold,2010,158,180
254,22-10-22,Chevrolet,T-Series,diesel,manual,Red,2016,85,305
255,22-10-22,Suzuki,Van,Benzene,manual,Red,1982,0,35
256,22-10-22,Toyota,Corolla,Benzene,automatic,White,2013,180,340
257,22-10-22,Peugeot,301,Benzene,automatic,Black,2019,6.233,365
258,22-10-22,Volkswagen,Golf,Benzene,automatic,Blue,2006,205,225
259,22-10-22,Opel,Vectra,Benzene,manual,Red,1998,320,90
260,22-10-22,Seat,Cordoba,Benzene,automatic,Silver,2007,183,163
261,22-10-22,Suzuki,Maruti,Benzene,manual,Gold,2009,0,50
262,22-10-22,Geely,Emgrand 7,Benzene,manual,Dark red,2015,68,115
263,22-10-22,Kia,Soul,Benzene,automatic,Silver,2009,100,200
264,22-10-22,Skoda,Octavia A4,Benzene,automatic,White,2003,230,175
265,22-10-22,Chevrolet,Spark,Benzene,manual,Black,2008,0,87
266,22-10-22,Kia,Sportage,Benzene,automatic,Silver,2012,180,450
267,22-10-22,Hyundai,Elantra CN7,Benzene,automatic,Gray,2022,1.4,620
268,22-10-22,Hyundai,Verna,natural gas,manual,Light grey,2013,93,175
269,22-10-22,Skoda,Octavia A7,Benzene,automatic,White,2014,140,490
270,22-10-22,Speranza,A516,Benzene,manual,Black,2009,125,125
